WA,WA_Name,plan_code,Issue Date,cntrct_code,app_recvd_date,annual_premium,issue_state,policy_nbr,paid_to_date,first_name,last_name,insured_address,insured_city,zip,draft_date,coverage_amount,Mode,tobacco,insured_ssn_last4,agent_first_name,agent_last_name,agent_email,insured_email,insured_phone_no,Contract Reason,Contract Date,Term Date,last_premium_applied,billing_method,gender
GW6EAUCE,ELIZABETH LOPEZ,PUL99 WA,20230617,T,20230601,741.96,MI,GTL8817484X,20240512,Lauren,Lewis,5969 PINE ST,Detroit,47614,,10000,Annual,N,6090,Elizabeth,Lopez,elizabeth.lopez4@insurancecorp.com,LAURENLEWIS47@email.com,8005484896,Check Returned,20230617,20230620,20240325,DIR,F
QKQ8JKH2,JESSICA ANDERSON,UL05G CA,20241025,R,20241005,3403.69,FL,GTL1698475J,20250723,Megan,Davis,3482 ELM ST,Miami,38227,,100000,Quarterly,Y,7062,Jessica,Anderson,jessica.anderson2@insurancecorp.com,MEGANDAVIS66@email.com,8008197983,Check Returned,20241025,20241031,20250719,PAC,M
R4CFEVAE,MELISSA LEE,WL10R TX,20250720,C,20250630,2194.42,CO,GTL4455336P,20251007,Sarah,Lewis,5202 OAK ST,Denver,77244,20250928,50000,Semi-Annual,Y,0993,Melissa,Lee,melissa.lee9@insurancecorp.com,SARAHLEWIS58@email.com,8001085744,LP,20250720,,20250824,PAC,M
PXBO7O4T,LAUREN LEE,LIF20 AZ,20240413,C,20240412,1637.02,WA,GTL3734243E,20240825,Brian,Walker,1839 PINE ST,Tacoma,36394,,100000,Annual,Y,7901,Lauren,Lee,lauren.lee2@insurancecorp.com,BRIANWALKER61@email.com,8004190247,,20240413,,20240825,PAC,M
GTNZMG4G,ROBERT DAVIS,WL10R TX,20240402,R,20240316,1946.98,TX,GTL5692619V,20250110,Lauren,White,9840 OAK ST,Houston,51099,,100000,Annual,Y,6209,Robert,Davis,robert.davis7@insurancecorp.com,LAURENWHITE36@email.com,8005654215,Cancelled,20240402,20240430,20241223,MAIL,M
F2L92GMM,ELIZABETH JOHNSON,PUL99 WA,20230609,R,20230414,4564.13,NJ,GTL8165012A,20240213,Kevin,Brown,4428 MAPLE ST,Jersey City,73196,,12000,Quarterly,N,3814,Elizabeth,Johnson,elizabeth.johnson9@insurancecorp.com,KEVINBROWN66@email.com,8007574360,Check Returned,20230609,20230612,20231216,PAC,M
1E7PC0IQ,ROBERT HARRIS,LIF20 AZ,20230811,A,20230724,864.42,GA,GTL1461791H,20240216,Chloe,Lopez,8235 OAK ST,Columbus,03684,,50000,Monthly,Y,7371,Robert,Harris,robert.harris1@insurancecorp.com,CHLOELOPEZ49@email.com,8002909584,Cancelled,20230811,20240509,20231224,DIR,F
I41KSUVQ,JESSICA WALKER,LIF20 AZ,20250130,A,20250102,3194.21,MA,GTL9563464N,20250521,Kevin,Smith,5345 ELM ST,Springfield,81641,20250519,8000,Annual,Y,0341,Jessica,Walker,jessica.walker6@insurancecorp.com,KEVINSMITH32@email.com,8008469505,Cancelled,20250130,20250510,20250324,MAIL,M
X73HTTTQ,LAUREN THOMAS,WL10R TX,20211207,A,20210911,4913.54,NY,GTL5678220L,20220519,Daniel,Clark,1692 ELM ST,Rochester,43633,,100000,Annual,Y,7480,Lauren,Thomas,lauren.thomas5@insurancecorp.com,DANIELCLARK60@email.com,8005072728,Cancelled,20211207,20220718,20220418,CHECK,M
T8CGRJM1,SOPHIA GARCIA,TRM20 NY,20241021,T,20241002,3492.64,MA,GTL9256458I,20241211,Sophia,Brown,5138 PINE ST,Worcester,90438,20241225,10000,Annual,N,0404,Sophia,Garcia,sophia.garcia5@insurancecorp.com,SOPHIABROWN78@email.com,8000679191,Cancelled,20241021,20241215,20241111,MAIL,M
7SW98A3L,MATTHEW HARRIS,SP500 FL,20220712,T,20220418,2992.27,PA,GTL6142270R,20230706,Kevin,Hernandez,4773 MAIN ST,Philadelphia,13518,,10000,Quarterly,N,1561,Matthew,Harris,matthew.harris3@insurancecorp.com,KEVINHERNANDEZ24@email.com,8002716414,Cancelled,20220712,20220820,20230621,CHECK,M
W3H0E6DI,DANIEL RODRIGUEZ,TRM20 NY,20230529,C,20230313,1999.75,WA,GTL6268288H,20230726,Ryan,Rodriguez,9045 MAIN ST,Tacoma,25543,,50000,Annual,Y,4767,Daniel,Rodriguez,daniel.rodriguez8@insurancecorp.com,RYANRODRIGUEZ28@email.com,8002950806,Account Closed,20230529,20230529,20230614,MAIL,F
V76YPFAQ,JAMES JONES,SP500 FL,20230708,C,20230627,537.68,NY,GTL5377198X,20240203,Michael,Martinez,9468 ELM ST,Albany,85227,20240129,100000,Monthly,N,3175,James,Jones,james.jones9@insurancecorp.com,MICHAELMARTINEZ75@email.com,8003226753,Cancelled,20230708,20231109,20240116,PAC,F
4WUXZTB8,JAMES TAYLOR,LIF20 AZ,20241011,R,20241010,2171.68,IL,GTL7723220T,20250729,Ashley,Scott,7221 PINE ST,Peoria,44606,,25000,Monthly,N,2504,James,Taylor,james.taylor3@insurancecorp.com,ASHLEYSCOTT61@email.com,8008838729,NSF,20241011,20250702,20250713,DIR,M
4DNX21EI,NICOLE ALLEN,WL10R TX,20230220,A,20230219,2396.07,TX,GTL5361868Q,20230712,Robert,Johnson,9261 MAPLE ST,Houston,25961,,100000,Annual,Y,1107,Nicole,Allen,nicole.allen8@insurancecorp.com,ROBERTJOHNSON14@email.com,8000928731,Check Returned,20230220,20230220,20230526,CHECK,M
N3QYB0AS,WILLIAM TAYLOR,PUL99 WA,20240829,C,20240620,2015.98,IL,GTL3237776M,20240909,David,Smith,5391 ELM ST,Rockford,92514,20240904,10000,Quarterly,Y,5777,William,Taylor,william.taylor1@insurancecorp.com,DAVIDSMITH69@email.com,8001064270,Check Returned,20240829,20240829,20240829,CHECK,F
S66OLKSA,DAVID CLARK,TRM20 NY,20250326,A,20250322,859.5,AZ,GTL8288534Y,20260219,Lauren,Lopez,8509 PINE ST,Mesa,87902,,100000,Monthly,Y,7251,David,Clark,david.clark4@insurancecorp.com,LAURENLOPEZ56@email.com,8002334474,CONV,20250326,,20260127,PAC,F
WI8H3WTM,AMANDA HALL,WL12S PA,20210611,R,20210325,3832.76,AZ,GTL9047813Y,20220103,Robert,Thompson,2827 OAK ST,Tucson,53480,,12000,Monthly,Y,5388,Amanda,Hall,amanda.hall5@insurancecorp.com,ROBERTTHOMPSON79@email.com,8007811996,Cancelled,20210611,20210726,20211229,CHECK,F
ERONA53S,MEGAN LEWIS,LIF20 AZ,20250220,A,20241227,1041.16,MA,GTL7651916V,20250920,Ryan,Williams,6864 ELM ST,Worcester,20890,,10000,Semi-Annual,Y,3550,Megan,Lewis,megan.lewis8@insurancecorp.com,RYANWILLIAMS41@email.com,8001916891,NSF,20250220,20250220,20250807,DIR,M
35DHS8TD,ASHLEY RODRIGUEZ,WL12S PA,20250816,A,20250624,2655.48,MA,GTL9947839V,20260626,Henry,Davis,7218 MAPLE ST,Worcester,96976,,12000,Annual,N,1636,Ashley,Rodriguez,ashley.rodriguez5@insurancecorp.com,HENRYDAVIS63@email.com,8000367216,Check Returned,20250816,20251026,20260607,DIR,M
HEBFHO3D,MEGAN SMITH,TRM20 NY,20230927,C,20230815,1189.76,FL,GTL9081832O,20240701,Michael,Garcia,1375 OAK ST,Orlando,13460,,12000,Monthly,N,4166,Megan,Smith,megan.smith5@insurancecorp.com,MICHAELGARCIA39@email.com,8000838125,NSF,20230927,20230927,20240527,CHECK,F
XEB5J949,SARAH THOMPSON,SP500 FL,20250430,R,20250308,3472.99,MA,GTL1046657X,20260313,Kevin,Moore,3170 OAK ST,Springfield,78122,,5000,Quarterly,Y,6795,Sarah,Thompson,sarah.thompson2@insurancecorp.com,KEVINMOORE25@email.com,8002464301,Cancelled,20250430,20250503,20260114,DIR,F
CPINCPLE,CHLOE SCOTT,LIF20 AZ,20221102,T,20220918,2879.96,IL,GTL9288586I,20230804,Robert,Davis,2898 ELM ST,Peoria,45159,20230807,5000,Semi-Annual,Y,7479,Chloe,Scott,chloe.scott7@insurancecorp.com,ROBERTDAVIS91@email.com,8002397300,Cancelled,20221102,20221122,20230626,MAIL,F
W40YQ2XL,SOPHIA LEE,WL12S PA,20250201,T,20241216,3005.54,OH,GTL7579670H,20250801,Sophia,Lewis,1939 OAK ST,Cincinnati,81333,20250719,8000,Quarterly,N,5156,Sophia,Lee,sophia.lee4@insurancecorp.com,SOPHIALEWIS44@email.com,8006409345,RERAT,20250201,,20250627,DIR,F
1BE6LL9U,LAUREN CLARK,WL12G PA,20231206,A,20231201,1566.49,NC,GTL4353915T,20240131,Grace,Lewis,6702 ELM ST,Greensboro,98774,,10000,Quarterly,N,2587,Lauren,Clark,lauren.clark6@insurancecorp.com,GRACELEWIS55@email.com,8008891520,RERAT,20231206,,20231222,DIR,M
Y2FAIV1C,HENRY YOUNG,LIF20 AZ,20251002,C,20250704,888.17,NJ,GTL3645476P,20260709,Michael,Harris,6213 MAIN ST,Jersey City,60782,,25000,Semi-Annual,N,3731,Henry,Young,henry.young5@insurancecorp.com,MICHAELHARRIS24@email.com,8006873145,NSF,20251002,20251002,20260621,MAIL,M
IBX2BMQG,NICOLE LEE,SP500 FL,20241020,R,20240828,4748.35,FL,GTL1007372J,20250207,Jane,Rodriguez,5116 MAIN ST,Orlando,73604,,25000,Semi-Annual,N,3353,Nicole,Lee,nicole.lee6@insurancecorp.com,JANERODRIGUEZ75@email.com,8007753930,NSF,20241020,20241024,20250108,MAIL,F
UWOOG1LH,MELISSA LEE,UL05G CA,20251130,R,20251031,4277.72,CO,GTL0985398X,20251203,Melissa,Brown,9144 MAIN ST,Aurora,36440,,25000,Annual,N,6696,Melissa,Lee,melissa.lee2@insurancecorp.com,MELISSABROWN51@email.com,8008430767,Check Returned,20251130,20251130,20251017,MAIL,F
R8GEMK7R,KEVIN THOMPSON,TRM20 NY,20251117,A,20251111,3551.15,CO,GTL6011861O,20260310,Victoria,Hernandez,7146 MAPLE ST,Colorado Springs,91000,20260301,25000,Annual,N,1860,Kevin,Thompson,kevin.thompson7@insurancecorp.com,VICTORIAHERNANDEZ83@email.com,8000419113,N/A,20251117,,20260117,DIR,M
AFMU0NOF,JOHN JONES,WL12G PA,20241012,A,20240717,4077.21,GA,GTL6560091J,20250726,Jane,Allen,7580 MAIN ST,Savannah,64212,20250805,50000,Monthly,N,9410,John,Jones,john.jones1@insurancecorp.com,JANEALLEN10@email.com,8003337418,Check Returned,20241012,20250116,20250701,DIR,M
WUDH8GOJ,SOPHIA LEWIS,SP500 FL,20230714,R,20230524,4281.63,PA,GTL7865709A,20240216,Brian,Thomas,4807 MAPLE ST,Pittsburgh,41718,,10000,Annual,N,2607,Sophia,Lewis,sophia.lewis7@insurancecorp.com,BRIANTHOMAS36@email.com,8009478297,LP,20230714,,20240202,DIR,M
6XS9MY2G,JANE HALL,UL05G CA,20240801,T,20240704,4814.3,GA,GTL3181762I,20250303,David,Lopez,9243 MAIN ST,Atlanta,29151,,12000,Annual,N,9120,Jane,Hall,jane.hall8@insurancecorp.com,DAVIDLOPEZ34@email.com,8002822461,REI,20240801,,20250210,PAC,F
47TB5MHG,DAVID LEWIS,SP500 FL,20211210,A,20210918,1784.9,TX,GTL0183415F,20220921,Michael,Davis,866 ELM ST,Dallas,84560,,50000,Annual,N,7713,David,Lewis,david.lewis6@insurancecorp.com,MICHAELDAVIS88@email.com,8008990253,Cancelled,20211210,20211210,20220815,CHECK,F
619IIWPC,DAVID HALL,TRM20 NY,20240911,A,20240824,2375.61,TX,GTL9654569L,20250628,Ryan,Young,8198 ELM ST,Dallas,90414,,50000,Annual,N,5124,David,Hall,david.hall9@insurancecorp.com,RYANYOUNG30@email.com,8007353575,Check Returned,20240911,20240921,20250612,MAIL,M
HT5CO7NE,CHLOE MOORE,LIF20 AZ,20230110,T,20221202,3224.77,AZ,GTL8328961L,20230128,Michael,Walker,6246 MAIN ST,Phoenix,63604,,10000,Semi-Annual,N,4832,Chloe,Moore,chloe.moore2@insurancecorp.com,MICHAELWALKER19@email.com,8005173204,NSF,20230110,20230110,20221226,DIR,M
B8MA1U9X,VICTORIA SCOTT,LIF20 AZ,20250603,C,20250407,2913.22,CO,GTL7080077A,20260202,Amanda,Martin,6483 MAPLE ST,Colorado Springs,84606,20260118,8000,Quarterly,Y,8664,Victoria,Scott,victoria.scott8@insurancecorp.com,AMANDAMARTIN98@email.com,8004490743,NSF,20250603,20250912,20251229,DIR,M
F34ZCJDM,VICTORIA HALL,WL12G PA,20250407,C,20250404,2600.5,TX,GTL8678963D,20260318,Matthew,Williams,5901 ELM ST,Houston,10932,,8000,Annual,N,0325,Victoria,Hall,victoria.hall1@insurancecorp.com,MATTHEWWILLIAMS18@email.com,8000804902,Check Returned,20250407,20250410,20260315,PAC,M
TDKG5F1I,DANIEL SCOTT,UL05G CA,20250117,R,20250113,3129.36,PA,GTL1352742B,20250531,Matthew,Clark,1640 MAIN ST,Harrisburg,31793,,5000,Monthly,Y,1301,Daniel,Scott,daniel.scott8@insurancecorp.com,MATTHEWCLARK45@email.com,8008786212,NSF,20250117,20250510,20250506,CHECK,M
XO7ARKUH,GRACE SCOTT,WL12S PA,20251212,C,20251020,836.95,NY,GTL1615981F,20260510,Emily,Hall,4175 ELM ST,New York,54123,,10000,Quarterly,Y,7811,Grace,Scott,grace.scott3@insurancecorp.com,EMILYHALL19@email.com,8004596517,CONV,20251212,,20260411,DIR,M
3CQ48LFA,WILLIAM MILLER,WL12S PA,20250812,A,20250727,3765.28,MA,GTL8534445Z,20251014,Andrew,Smith,5581 MAIN ST,Springfield,35399,,12000,Semi-Annual,N,0943,William,Miller,william.miller1@insurancecorp.com,ANDREWSMITH60@email.com,8000165164,N/A,20250812,,20250905,CHECK,F
T84WJQ2X,GRACE CLARK,UL05G CA,20231204,A,20230921,2956.52,AZ,GTL9474990M,20240521,William,Martinez,3016 MAIN ST,Phoenix,91263,,10000,Quarterly,N,3858,Grace,Clark,grace.clark1@insurancecorp.com,WILLIAMMARTINEZ35@email.com,8004947192,REI,20231204,,20240322,PAC,F
U0E2BTD2,MELISSA LOPEZ,LIF20 AZ,20251219,T,20251104,1614.14,FL,GTL4925732Z,20261023,Megan,Moore,8330 MAIN ST,Orlando,83506,,5000,Quarterly,Y,2168,Melissa,Lopez,melissa.lopez2@insurancecorp.com,MEGANMOORE60@email.com,8000996633,LP,20251219,,20260827,DIR,M
B8RORXRM,EMILY CLARK,TRM20 NY,20241111,A,20240903,4457.65,FL,GTL3404077X,20250623,Amanda,Davis,9806 MAIN ST,Orlando,81101,,50000,Annual,Y,4219,Emily,Clark,emily.clark2@insurancecorp.com,AMANDADAVIS76@email.com,8001046127,Account Closed,20241111,20241111,20250604,DIR,F
U121J8I3,VICTORIA ALLEN,LIF20 AZ,20221129,R,20221106,808.25,AZ,GTL7239533I,20230806,Ashley,White,9645 PINE ST,Mesa,84007,,10000,Semi-Annual,N,8891,Victoria,Allen,victoria.allen9@insurancecorp.com,ASHLEYWHITE74@email.com,8000992764,Cancelled,20221129,20230512,20230718,PAC,F
RUZ3CDKE,JESSICA JOHNSON,WL12S PA,20230401,R,20230112,4040.25,NY,GTL1205034O,20230814,Chris,Allen,5491 MAPLE ST,New York,69342,,25000,Semi-Annual,N,6735,Jessica,Johnson,jessica.johnson5@insurancecorp.com,CHRISALLEN63@email.com,8005427659,NSF,20230401,20230807,20230703,PAC,M
YF8BLJSW,ANDREW DAVIS,UL05G CA,20230316,T,20230228,3676.5,PA,GTL8153931Y,20230424,Ashley,Lopez,7145 MAIN ST,Harrisburg,58590,,10000,Monthly,Y,8262,Andrew,Davis,andrew.davis5@insurancecorp.com,ASHLEYLOPEZ41@email.com,8005480236,Cancelled,20230316,20230329,20230316,PAC,M
D6SHSQTA,CHRIS SCOTT,WL12S PA,20250729,C,20250504,855.42,GA,GTL6965869N,20250912,David,Davis,9967 PINE ST,Columbus,69825,,50000,Quarterly,Y,3394,Chris,Scott,chris.scott2@insurancecorp.com,DAVIDDAVIS75@email.com,8009347584,NSF,20250729,20251010,20250823,CHECK,F
EYF9ILIY,AMANDA RODRIGUEZ,WL10R TX,20241122,R,20240929,4190.18,PA,GTL9976777Y,20250407,Chloe,Lee,1972 MAIN ST,Harrisburg,88685,20250330,50000,Quarterly,N,9571,Amanda,Rodriguez,amanda.rodriguez4@insurancecorp.com,CHLOELEE39@email.com,8001321814,Account Closed,20241122,20241122,20250320,MAIL,M
7OZW6J37,HENRY GARCIA,SP500 FL,20250817,A,20250614,2813.15,MI,GTL8114316Y,20260518,Robert,Williams,4401 PINE ST,Warren,26795,,10000,Quarterly,Y,7071,Henry,Garcia,henry.garcia5@insurancecorp.com,ROBERTWILLIAMS27@email.com,8002991103,Cancelled,20250817,20250819,20260428,PAC,F
HAFP5Y2K,JOHN GARCIA,TRM20 NY,20230623,A,20230610,3029.17,CO,GTL6002545Y,20240307,Brian,Smith,6301 MAIN ST,Aurora,41489,,5000,Monthly,Y,7999,John,Garcia,john.garcia7@insurancecorp.com,BRIANSMITH31@email.com,8004957735,Cancelled,20230623,20230723,20240219,MAIL,F
54J3EUIO,GRACE JOHNSON,PUL99 WA,20240926,C,20240911,4181.15,CA,GTL0709644W,20250427,John,Davis,728 PINE ST,San Jose,68568,20250428,5000,Annual,Y,5462,Grace,Johnson,grace.johnson9@insurancecorp.com,JOHNDAVIS95@email.com,8007446175,Cancelled,20240926,20240927,20250325,CHECK,M
IZXJKRV6,DANIEL RODRIGUEZ,SP500 FL,20230127,A,20230111,2135.99,TX,GTL8322461K,20230608,Ashley,Brown,3799 MAIN ST,San Antonio,94795,,8000,Semi-Annual,N,1663,Daniel,Rodriguez,daniel.rodriguez8@insurancecorp.com,ASHLEYBROWN61@email.com,8007291629,RERAT,20230127,,20230523,DIR,F
PI662BIM,MEGAN MARTINEZ,WL12G PA,20210512,C,20210416,2692.32,PA,GTL4060390J,20210517,Michael,Lee,5636 MAPLE ST,Philadelphia,38765,,25000,Quarterly,Y,1531,Megan,Martinez,megan.martinez5@insurancecorp.com,MICHAELLEE73@email.com,8003101943,NSF,20210512,20210703,20210430,PAC,M
6WB0XROY,GRACE WHITE,LIF20 AZ,20250103,T,20241013,1921.01,NJ,GTL7451306V,20250202,John,Young,4366 MAPLE ST,Jersey City,48060,,25000,Monthly,Y,1262,Grace,White,grace.white2@insurancecorp.com,JOHNYOUNG18@email.com,8004565544,RERAT,20250103,,20241214,DIR,M
1TUVTPQX,ASHLEY SCOTT,PUL99 WA,20250625,A,20250513,3559.56,NC,GTL1666255M,20251217,Chloe,Moore,6322 PINE ST,Charlotte,07604,,12000,Annual,N,4905,Ashley,Scott,ashley.scott4@insurancecorp.com,CHLOEMOORE53@email.com,8009791939,Cancelled,20250625,20250809,20251028,CHECK,M
547M7G50,ANDREW JOHNSON,SP500 FL,20250917,T,20250820,3508.04,AZ,GTL5726749B,20260406,Matthew,Davis,7409 MAIN ST,Phoenix,84921,,5000,Semi-Annual,N,3480,Andrew,Johnson,andrew.johnson7@insurancecorp.com,MATTHEWDAVIS50@email.com,8005265822,Credit Card Declined,20250917,20250917,20260320,CHECK,F
2U7T0UZ3,SOPHIA ALLEN,WL10R TX,20231008,R,20230921,1625.72,IL,GTL5724549E,20231103,Ashley,Thompson,5967 MAPLE ST,Peoria,13536,,5000,Annual,N,9982,Sophia,Allen,sophia.allen1@insurancecorp.com,ASHLEYTHOMPSON64@email.com,8001671818,Cancelled,20231008,20231008,20230923,PAC,M
FQGCSYTF,SARAH CLARK,WL12S PA,20250130,A,20241217,4673.65,WA,GTL9849262W,20260106,Elizabeth,Garcia,584 ELM ST,Spokane,45223,,25000,Monthly,N,1592,Sarah,Clark,sarah.clark7@insurancecorp.com,ELIZABETHGARCIA13@email.com,8006959135,Cancelled,20250130,20250130,20251205,CHECK,F
KX63M90Z,CHRIS THOMPSON,WL12G PA,20250310,T,20250302,2176.22,MA,GTL0497425N,20251010,Elizabeth,Moore,3146 OAK ST,Springfield,43985,,5000,Quarterly,N,0621,Chris,Thompson,chris.thompson2@insurancecorp.com,ELIZABETHMOORE24@email.com,8007697717,Cancelled,20250310,20250410,20250927,DIR,M
WCWENQ3K,ELIZABETH LEWIS,TRM20 NY,20251009,R,20250719,2032.09,CO,GTL0960991P,20260101,George,Brown,1617 MAPLE ST,Colorado Springs,57890,,25000,Annual,N,2856,Elizabeth,Lewis,elizabeth.lewis5@insurancecorp.com,GEORGEBROWN37@email.com,8005395195,Check Returned,20251009,20251014,20251231,CHECK,F
FR3KAUX3,BRIAN JACKSON,WL12S PA,20220810,R,20220610,2107.74,TX,GTL9694134O,20230605,Melissa,Lee,6900 MAPLE ST,Houston,49060,20230523,100000,Semi-Annual,N,3514,Brian,Jackson,brian.jackson6@insurancecorp.com,MELISSALEE55@email.com,8006578165,Account Closed,20220810,20220930,20230416,PAC,M
FSOJ2LYT,MICHAEL WHITE,UL05G CA,20250526,T,20250508,3941.77,TX,GTL2361380M,20250628,Megan,Martinez,5849 MAIN ST,San Antonio,76224,,12000,Annual,Y,6621,Michael,White,michael.white8@insurancecorp.com,MEGANMARTINEZ25@email.com,8002832496,CONV,20250526,,20250514,PAC,M
HPIU5N3P,SARAH SCOTT,WL10R TX,20230616,C,20230417,2337.09,TX,GTL2343463Q,20240215,Andrew,Clark,5224 MAIN ST,San Antonio,72823,,25000,Quarterly,Y,6043,Sarah,Scott,sarah.scott5@insurancecorp.com,ANDREWCLARK65@email.com,8004436001,Account Closed,20230616,20240504,20240111,CHECK,M
PGD4YL8P,CHRIS JACKSON,WL12G PA,20240904,R,20240720,1701.52,GA,GTL2745852T,20240912,Brian,Thomas,9218 ELM ST,Augusta,90612,,8000,Annual,Y,4817,Chris,Jackson,chris.jackson5@insurancecorp.com,BRIANTHOMAS25@email.com,8008629076,Cancelled,20240904,20240905,20240813,MAIL,M
J2K9BU1A,LAUREN CLARK,PUL99 WA,20241029,C,20241027,2271.64,PA,GTL4365500I,20250111,David,Davis,1920 PINE ST,Pittsburgh,06424,,8000,Quarterly,N,8494,Lauren,Clark,lauren.clark1@insurancecorp.com,DAVIDDAVIS54@email.com,8000232658,Cancelled,20241029,20250206,20241129,CHECK,M
ZZ0M07C0,LAUREN WHITE,PUL99 WA,20231230,C,20231221,3305.49,TX,GTL5164068X,20240412,Chris,Thomas,8369 ELM ST,Dallas,29127,,5000,Monthly,N,5537,Lauren,White,lauren.white9@insurancecorp.com,CHRISTHOMAS70@email.com,8009357264,NSF,20231230,20240429,20240402,MAIL,M
BUQH6N44,SARAH WHITE,PUL99 WA,20230404,R,20230204,2690.32,FL,GTL8091193P,20231101,Amanda,Young,9845 ELM ST,Miami,18682,20231023,10000,Monthly,Y,1320,Sarah,White,sarah.white8@insurancecorp.com,AMANDAYOUNG92@email.com,8006483474,NSF,20230404,20230407,20230925,DIR,F
IU61T343,DANIEL YOUNG,WL12S PA,20220926,R,20220704,3614.46,CO,GTL4429520E,20230325,Sarah,Hall,898 OAK ST,Colorado Springs,51516,,5000,Annual,Y,6182,Daniel,Young,daniel.young7@insurancecorp.com,SARAHHALL13@email.com,8002814914,Check Returned,20220926,20221106,20230203,PAC,F
FOE69JZ0,WILLIAM WILLIAMS,SP500 FL,20240920,T,20240710,3619.16,WA,GTL7403849D,20250324,Ashley,Scott,7502 OAK ST,Spokane,48816,,5000,Quarterly,Y,9247,William,Williams,william.williams6@insurancecorp.com,ASHLEYSCOTT15@email.com,8004996283,Credit Card Declined,20240920,20240922,20250322,DIR,M
G1NT6COH,GEORGE WILLIAMS,WL12S PA,20251209,T,20251030,1873.58,NY,GTL7736917D,20260228,Matthew,Moore,9771 MAPLE ST,Buffalo,51590,,100000,Monthly,N,8277,George,Williams,george.williams8@insurancecorp.com,MATTHEWMOORE81@email.com,8001449747,REI,20251209,,20260218,DIR,F
2N10KIJG,LAUREN ANDERSON,WL12S PA,20230201,C,20221105,2994.91,NC,GTL1804459Y,20230910,Robert,Wilson,3262 MAPLE ST,Charlotte,72449,20230915,25000,Annual,N,0443,Lauren,Anderson,lauren.anderson1@insurancecorp.com,ROBERTWILSON15@email.com,8000669808,Cancelled,20230201,20231128,20230905,MAIL,F
